City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Salalah,17.0151,54.0924,80.69,83,0,2.3,OM,2022-04-02 19:13:02
132,Bluff,-46.6,168.3333,57.15,72,79,20.49,NZ,2022-04-02 19:17:23
133,Vista Hermosa,19.5167,-99.2167,80.55,14,75,4.61,MX,2022-04-02 19:17:23
134,Balakhta,55.38,91.6,23.27,93,100,5.39,RU,2022-04-02 19:17:23
135,Puerto Ayora,-0.7393,-90.3518,85.96,92,56,5.01,EC,2022-04-02 19:17:24
136,Xuddur,4.1213,43.8894,86.68,40,100,14.23,SO,2022-04-02 19:17:24
137,Sawtell,-30.3833,153.1,62.19,94,86,3.85,AU,2022-04-02 19:17:26
138,Ponta Do Sol,32.6667,-17.1,63.23,81,100,7.02,PT,2022-04-02 19:18:26
139,Dyersburg,36.0345,-89.3856,62.87,48,0,6.91,US,2022-04-02 19:17:56
140,Petauke,-14.2426,31.3253,65.32,96,56,4.45,ZM,2022-04-02 19:18:27
141,Codrington,-38.2667,141.9667,54.1,90,63,6.73,AU,2022-04-02 19:18:27
142,Fairview,40.8126,-73.999,54.95,35,0,6.91,US,2022-04-02 19:18:28
143,Arraial Do Cabo,-22.9661,-42.0278,80.46,78,75,13.8,BR,2022-04-02 19:18:28
144,Semirom,31.4167,51.5667,53.64,38,1,1.81,IR,2022-04-02 19:18:29
145,Chimbote,-9.0853,-78.5783,75.04,69,94,11.65,PE,2022-04-02 19:18:29
146,Byron Bay,-28.65,153.6167,64.94,91,100,6.22,AU,2022-04-02 19:18:30
147,Upernavik,72.7868,-56.1549,14.79,94,98,12.71,GL,2022-04-02 19:18:30
148,Wajima,37.4,136.9,42.08,68,1,6.62,JP,2022-04-02 19:18:30
149,Nelson Bay,-32.7167,152.15,57.0,95,9,8.43,AU,2022-04-02 19:18:31
150,Plouzane,48.3833,-4.6167,42.85,68,0,8.05,FR,2022-04-02 19:18:31
151,Bethel,41.3712,-73.414,54.03,40,0,8.05,US,2022-04-02 19:18:31
152,Archidona,37.0965,-4.3887,49.42,72,100,2.62,ES,2022-04-02 19:18:32
153,Port Alberni,49.2413,-124.8028,52.12,81,100,10.0,CA,2022-04-02 19:18:32
154,Araguaina,-7.1911,-48.2072,83.07,71,100,5.3,BR,2022-04-02 19:18:32
155,Narok,-1.0783,35.8601,61.59,81,100,9.37,KE,2022-04-02 19:18:33
156,Alofi,-19.0595,-169.9187,78.69,89,68,3.44,NU,2022-04-02 19:18:33
157,Aklavik,68.2191,-135.0107,-11.2,64,0,3.44,CA,2022-04-02 19:18:34
158,Carnarvon,-24.8667,113.6333,77.07,83,40,5.75,AU,2022-04-02 19:18:34
159,Nikolskoye,59.7035,30.7861,30.09,96,10,3.74,RU,2022-04-02 19:18:34
160,Ola,59.5833,151.2833,12.9,81,100,5.88,RU,2022-04-02 19:18:35
161,Mahebourg,-20.4081,57.7,75.25,100,75,9.22,MU,2022-04-02 19:18:35
162,Santa Maria Del Real,14.7667,-85.95,95.61,48,40,0.0,HN,2022-04-02 19:18:35
163,Takoradi,4.8845,-1.7554,82.06,82,96,8.61,GH,2022-04-02 19:18:36
164,Amuntai,-2.4177,115.2494,73.71,96,100,2.01,ID,2022-04-02 19:18:36
165,Narrabri,-30.3167,149.7833,58.84,56,95,2.8,AU,2022-04-02 19:18:36
166,San Patricio,28.017,-97.5169,89.17,47,0,8.01,US,2022-04-02 19:18:37
167,Springbok,-29.6643,17.8865,58.84,60,43,4.14,ZA,2022-04-02 19:18:37
168,Ballina,-28.8667,153.5667,65.01,99,99,4.88,AU,2022-04-02 19:18:38
169,Kozarmisleny,46.0297,18.2921,35.92,87,75,8.05,HU,2022-04-02 19:18:38
170,Esil,51.9556,66.4042,33.31,81,100,13.13,KZ,2022-04-02 19:18:38
171,Faanui,-16.4833,-151.75,80.92,78,11,7.4,PF,2022-04-02 19:18:39
172,Kodiak,57.79,-152.4072,35.11,100,75,0.0,US,2022-04-02 19:18:39
173,Tasiilaq,65.6145,-37.6368,32.16,92,100,24.7,GL,2022-04-02 19:18:39
174,Namtsy,62.7161,129.6658,10.54,96,100,5.95,RU,2022-04-02 19:18:40
175,Kamenka,51.3223,42.7678,59.65,62,41,20.2,RU,2022-04-02 19:18:40
176,Sola,-13.8833,167.55,79.88,79,100,10.02,VU,2022-04-02 19:18:40
